"DBA","BORO","STREET","ZIPCODE","CUISINE.DESCRIPTION","INSPECTION.DATE","ACTION","VIOLATION.CODE","VIOLATION.DESCRIPTION","CRITICAL.FLAG","SCORE","GRADE","GRADE.DATE","RECORD.DATE","INSPECTION.TYPE","X1","X2"
"EL TAPATIO MEXICAN RESTAURANT","MANHATTAN","EAST  116 STREET",10029,"Mexican","06/27/2016","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",24,"B","06/27/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.9389437,40.8418361
"RONGOLI EXQUISTE INDIAN CUISINE","MANHATTAN","2ND AVE",10021,"Indian","02/17/2017","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",10,"A","02/17/2017","04/23/2017","Cycle Inspection / Re-inspection",-73.9991175,40.744091
"PEE DEE","MANHATTAN","WEST  125 STREET",10027,"Steak","08/31/2016","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",12,"A","08/31/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.9777607,40.7565634
"PICCOLA CUCINA","MANHATTAN","SPRING STREET",10012,"Italian","12/22/2014","Violations were cited in the following area(s).","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.","Critical",12,"A","12/22/2014","04/23/2017","Cycle Inspection / Re-inspection",-73.979452,40.783341
"SUBWAY","MANHATTAN","BROADWAY",10025,"Sandwiches/Salads/Mixed Buffet","12/17/2014","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",12,"A","12/17/2014","04/23/2017","Cycle Inspection / Re-inspection",-73.981761,40.780736
"SUBWAY","MANHATTAN","AMSTERDAM AVE",10023,"Sandwiches","12/02/2015","Violations were cited in the following area(s).","05D","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.","Critical",10,"A","12/02/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.983087,40.7600904
"CARROT TOP PASTRIES","MANHATTAN","BROADWAY",10032,"Bakery","06/24/2016","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",10,"A","06/24/2016","04/23/2017","Cycle Inspection / Initial Inspection",-73.9789992,40.7591047
"JOY BURGER BAR","MANHATTAN","LEXINGTON AVE",10029,"Hamburgers","01/07/2015","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",26,"B","01/07/2015","04/23/2017","Pre-permit (Operational) / Re-inspection",-73.9828717,40.7605848
"SOJU HAUS","MANHATTAN","5TH AVE",10016,"Korean","09/27/2016","Violations were cited in the following area(s).","10H","Proper sanitization not provided for utensil ware washing operation.","Not Critical",11,"A","09/27/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.977012,40.785275
"MACAO  RESTUARANT AND BAR","MANHATTAN","CHURCH STREET",10013,"Asian","02/08/2017","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",8,"A","02/08/2017","04/23/2017","Cycle Inspection / Re-inspection",-73.938824,40.84651
"SARAVANA BHAVAN","MANHATTAN","AMSTERDAM AVENUE",10024,"Vegetarian","09/30/2013","Violations were cited in the following area(s).","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Critical",7,"A","09/30/2013","04/23/2017","Cycle Inspection / Re-inspection",-73.972662,40.7853069
"VIEW RESTAURANT","MANHATTAN","BROADWAY",10036,"American","02/02/2017","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",9,"A","02/02/2017","04/23/2017","Cycle Inspection / Re-inspection",-73.989276,40.742975
"ANDY'S CAFETERIA (HPD BUILDING)","MANHATTAN","GOLD ST",10038,"American","05/28/2015","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",11,"A","05/28/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.991983,40.742871
"GOLAN HEIGHTS","MANHATTAN","AMSTERDAM AVENUE",10033,"Jewish/Kosher","11/21/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",11,"A","11/21/2016","04/23/2017","Cycle Inspection / Initial Inspection",-73.950346,40.777536
"BAGEL BOSS","MANHATTAN","1 AVENUE",10003,"Jewish/Kosher","06/06/2014","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",12,"A","06/06/2014","04/23/2017","Cycle Inspection / Initial Inspection",-73.9814283,40.7614804
"DUNKIN' DONUTS","MANHATTAN","AMSTERDAM AVE",10027,"Donuts","01/30/2014","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,"A","01/30/2014","04/23/2017","Pre-permit (Operational) / Initial Inspection",-73.9832887,40.7411707
"COCO","MANHATTAN","SAINT MARKS PL",10003,"CafÃ©/Coffee/Tea","01/30/2017","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",11,"A","01/30/2017","04/23/2017","Cycle Inspection / Initial Inspection",-73.9794404,40.7351588
"O-MAI","MANHATTAN","9 AVENUE",10011,"Vietnamese/Cambodian/Malaysia","07/15/2014","Violations were cited in the following area(s).","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Critical",11,"A","07/15/2014","04/23/2017","Cycle Inspection / Initial Inspection",-73.9950308,40.7260224
"SOCIETY BILLARDS AND BAR","MANHATTAN","EAST   21 STREET",10010,"American","10/21/2015","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",9,"A","10/21/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.9720839,40.7608582
"CITIZENS OF CHELSEA","MANHATTAN","W 25TH ST",10001,"American","03/30/2015","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",12,"A","03/30/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.977272,40.747293
"FLASH DANCERS","MANHATTAN","BROADWAY",10019,"American","04/20/2017","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",9,"A","04/20/2017","04/23/2017","Cycle Inspection / Initial Inspection",-73.9449224,40.8072813
"MELT SHOP","MANHATTAN","8TH AVE",10019,"American","12/07/2015","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,"A","12/07/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.985365,40.75684
"CONTRA","MANHATTAN","ORCHARD ST",10002,"American","04/07/2015","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",4,"A","04/07/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.9446673,40.8238346
"212 STEAKHOUSE","MANHATTAN","E 53RD ST",10022,"Steak","12/08/2015","Violations were cited in the following area(s).","10H","Proper sanitization not provided for utensil ware washing operation.","Not Critical",10,"A","12/08/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.9885195,40.7688141
"DELUXE GREEN BO","MANHATTAN","BAYARD ST",10013,"Chinese","06/28/2016","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",22,"B","06/28/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.9823546,40.7498821
"BCD TOFU HOUSE","MANHATTAN","WEST   32 STREET",10001,"Korean","01/23/2017","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",22,"B","01/23/2017","04/23/2017","Cycle Inspection / Re-inspection",-73.998625,40.7199563
"THE BISTRO","MANHATTAN","W 37TH ST",10018,"American","06/28/2016","Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",9,"A","06/28/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.9772645,40.7543611
"RESTAURANT MARKETING ASSOCIATES","MANHATTAN","AVE AMERICAS",10036,"American","08/09/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",11,"A","08/09/2016","04/23/2017","Pre-permit (Operational) / Initial Inspection",-73.9870976,40.7475813
"RESTIVO RISTORANTE","MANHATTAN","7 AVENUE",10011,"Italian","11/10/2014","Violations were cited in the following area(s).","04M","Live roaches present in facility's food and/or non-food areas.","Critical",11,"A","11/10/2014","04/23/2017","Cycle Inspection / Initial Inspection",-73.985791,40.732386
"DOUBLE DOWN SALOON","MANHATTAN","AVENUE A",10009,"American","06/10/2013","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",16,"B","06/10/2013","04/23/2017","Cycle Inspection / Re-inspection",-74.0020972,40.7352144
"MAPI","MANHATTAN","WEST   13 STREET",10011,"American","08/12/2015","Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",14,"B","08/12/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.9883065,40.7444486
"OTTO'S TACOS","MANHATTAN","SECOND AVE",10003,"Mexican","11/13/2013","Violations were cited in the following area(s).","10H","Proper sanitization not provided for utensil ware washing operation.","Not Critical",13,"A","11/13/2013","04/23/2017","Pre-permit (Operational) / Initial Inspection",-73.9799953,40.7579787
"EL MANANTIAL BAKERY","MANHATTAN","SAINT NICHOLAS AVE",10032,"Bakery","03/10/2017","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",13,"A","03/10/2017","04/23/2017","Cycle Inspection / Initial Inspection",-73.9556887,40.7734448
"JOHN DOE BAR & KITCHEN","MANHATTAN","5TH AVE",10016,"American","03/15/2017","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",4,"A","03/15/2017","04/23/2017","Cycle Inspection / Re-inspection",-73.9468287,40.8103729
"ARGO TEA CAFE","MANHATTAN","BROADWAY",10010,"CafÃ©/Coffee/Tea","12/18/2015","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",9,"A","12/18/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.9467611,40.8139848
"MCDONALD'S","MANHATTAN","WEST  125 STREET",10027,"American","01/29/2014","Violations were cited in the following area(s).","10I","Single service item reused, improperly stored, dispensed; not used when required.","Not Critical",8,"A","01/29/2014","04/23/2017","Cycle Inspection / Re-inspection",-73.987173,40.741726
"PRET A MANGER","MANHATTAN","AVENUE OF THE AMERICAS",10018,"Sandwiches/Salads/Mixed Buffet","11/20/2015","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",8,"A","11/20/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.9906789,40.7503431
"SHADES OF GREEN","MANHATTAN","EAST   15 STREET",10003,"American","12/18/2013","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",7,"A","12/18/2013","04/23/2017","Cycle Inspection / Initial Inspection",-73.9893053,40.763741
"FUEL GRILL AND JUICE BAR","MANHATTAN","9TH AVE",10036,"American","12/16/2016","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",19,"B","12/16/2016","04/23/2017","Pre-permit (Operational) / Re-inspection",-77.0322708,38.9079625
"BEYOND SUSHI NYC INC","MANHATTAN","W 56TH ST",10019,"Vegetarian","12/15/2014","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",4,"A","12/15/2014","04/23/2017","Pre-permit (Operational) / Initial Inspection",-74.0060372,40.7339677
"THE RANDOLPH AT BROOME","MANHATTAN","BROOME STREET",10013,"American","06/03/2016","Violations were cited in the following area(s).","04C","Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.","Critical",12,"A","06/03/2016","04/23/2017","Cycle Inspection / Initial Inspection",-73.9771362,40.7526349
"SZECHUAN GOURMET","MANHATTAN","WEST   56 STREET",10019,"Chinese","09/24/2015","Violations were cited in the following area(s).","04K","Evidence of rats or live rats present in facility's food and/or non-food areas.","Critical",22,"B","09/24/2015","04/23/2017","Cycle Inspection / Re-inspection",-82.9000751,32.1656221
"FLAVORS CAFE","MANHATTAN","WATER STREET",10038,"American","11/16/2015","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,"A","11/16/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.9867127,40.7590016
"MALECON RESTAURANT","MANHATTAN","BROADWAY",10033,"Spanish","04/03/2015","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",12,"A","04/03/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.9770694,40.7627063
"LA GRENOUILLE","MANHATTAN","EAST   52 STREET",10022,"French","11/17/2015","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",13,"A","11/17/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.9841282,40.749761
"BLOSSOM  ON COLUMBUS","MANHATTAN","COLUMBUS AVE",10024,"American","12/07/2015","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",9,"A","12/07/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.9609761,40.8014551
"PERK KAFE","MANHATTAN","E 37TH ST",10016,"CafÃ©/Coffee/Tea","08/02/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",21,"B","08/02/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.9526379,40.777145
"TAL BAGEL","MANHATTAN","EAST   86 STREET",10028,"Bagels/Pretzels","04/08/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",10,"A","04/08/2016","04/23/2017","Cycle Inspection / Initial Inspection",-73.9937164,40.7387139
"POPEYES LOUISIANA KITCHEN","MANHATTAN","LEXINGTON AVENUE",10010,"Chicken","10/24/2014","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",12,"A","10/24/2014","04/23/2017","Cycle Inspection / Initial Inspection",-73.9917283,40.7405211
"RUSTY'S FLAVOR","MANHATTAN","ADAM CLAYTON POWELL JR BLVD",10030,"Caribbean","09/21/2016","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",9,"A","09/21/2016","04/23/2017","Cycle Inspection / Initial Inspection",-73.9668126,40.756784
"VAMOS","MANHATTAN","1 AVENUE",10010,"Mexican","05/06/2014","Violations were cited in the following area(s).","06F","Wiping cloths soiled or not stored in sanitizing solution.","Critical",12,"A","05/06/2014","04/23/2017","Cycle Inspection / Re-inspection",-74.0081545,40.7067097
"SPRINGBONE KITCHEN","MANHATTAN","W 3RD ST",10012,"American","08/04/2016","Violations were cited in the following area(s).","02H","Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.","Critical",11,"A","08/04/2016","04/23/2017","Pre-permit (Operational) / Re-inspection",-73.9808681,40.7523419
"Vivid Cabaret","MANHATTAN","W 37TH ST",10018,"American","04/06/2016","Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",13,"A","04/06/2016","04/23/2017","Cycle Inspection / Initial Inspection",-73.9854156,40.7569953
"BLEECKER STREET BAR","MANHATTAN","BLEECKER STREET",10012,"American","02/13/2017","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",9,"A","02/13/2017","04/23/2017","Cycle Inspection / Re-inspection",-73.9855409,40.761899
"CHIPOTLE MEXICAN GRILL","MANHATTAN","8 AVENUE",10011,"Tex-Mex","05/21/2014","Violations were cited in the following area(s).","09C","Food contact surface not properly maintained.","Not Critical",7,"A","05/21/2014","04/23/2017","Cycle Inspection / Initial Inspection",-73.9629877,40.7611102
"O'DONOGHUE'S","MANHATTAN","WEST   44 STREET",10036,"American","05/08/2014","Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",10,"A","05/08/2014","04/23/2017","Cycle Inspection / Initial Inspection",-73.9846746,40.7227961
"DUNKIN' DONUTS","MANHATTAN","WEST  145 STREET",10039,"Donuts","03/17/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,"A","03/17/2016","04/23/2017","Cycle Inspection / Initial Inspection",-73.961088,40.7686791
"LUCKY DELI","MANHATTAN","EAST   37 STREET",10016,"Delicatessen","08/15/2014","Violations were cited in the following area(s).","10I","Single service item reused, improperly stored, dispensed; not used when required.","Not Critical",7,"A","08/15/2014","04/23/2017","Cycle Inspection / Re-inspection",-74.0072007,40.7162023
"DOS CAMINOS SOHO","MANHATTAN","WEST BROADWAY",10012,"Mexican","09/08/2016","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",13,"A","09/08/2016","04/23/2017","Cycle Inspection / Initial Inspection",-74.0079738,40.7151451
"LANDMARK COFFEE SHOP","MANHATTAN","GRAND STREET",10013,"American","03/24/2014","No violations were recorded at the time of this inspection.","","","Not Applicable",0,"A","03/24/2014","04/23/2017","Cycle Inspection / Re-inspection",-73.9966867,40.720561
"CITY GOURMET","MANHATTAN","EAST   14 STREET",10003,"American","02/28/2017","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",10,"A","02/28/2017","04/23/2017","Cycle Inspection / Initial Inspection",-73.9772803,40.7841823
"AKIRA SUSHI","MANHATTAN","7TH AVE S",10014,"Japanese","09/28/2016","Violations were cited in the following area(s).","09B","Thawing procedures improper.","Not Critical",6,"A","09/28/2016","04/23/2017","Cycle Inspection / Initial Inspection",-73.9833845,40.7258405
"PONDICHERI","MANHATTAN","W 27TH ST",10001,"Indian","12/16/2016","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",27,"B","12/16/2016","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"FRESHDAY","MANHATTAN","WEST   48 STREET",10036,"Delicatessen","05/16/2014","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",24,"B","05/16/2014","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"THE COPPER STILL","MANHATTAN","2ND AVE",10003,"Irish","06/09/2015","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,"A","06/09/2015","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"SOJOURN","MANHATTAN","EAST   79 STREET",10075,"Mediterranean","07/21/2015","Violations were cited in the following area(s).","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Critical",23,"B","07/21/2015","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"LA CASA SALUDABLE","MANHATTAN","E 116TH ST",10029,"Juice, Smoothies, Fruit Salads","08/26/2014","No violations were recorded at the time of this inspection.","","","Not Applicable",0,"A","08/26/2014","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"INATESSO PIZZA BAR CASANO","MANHATTAN","WEST STREET",10004,"Pizza/Italian","07/09/2014","Violations were cited in the following area(s).","02H","Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.","Critical",9,"A","07/09/2014","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"AMERICAN LEGION VETERANS POST","MANHATTAN","WEST  132 STREET",10027,"American","08/31/2016","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",27,"B","08/31/2016","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"SBARRO","MANHATTAN","WEST   33 STREET",10001,"Pizza/Italian","01/06/2014","Violations were cited in the following area(s).","08C","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.","Not Critical",20,"B","01/06/2014","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"VALHALLA","MANHATTAN","9 AVENUE",10019,"American","07/23/2014","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",12,"A","07/23/2014","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"HIBERNIA","MANHATTAN","WEST   50 STREET",10019,"Irish","06/25/2013","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",10,"A","06/25/2013","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"NEW YORK RIFLE CLUB","MANHATTAN","MACDOUGAL STREET",10012,"Italian","05/01/2014","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",11,"A","05/01/2014","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"THE QUARTER","MANHATTAN","HUDSON STREET",10014,"American","10/25/2016","Violations were cited in the following area(s).","10J","''''Wash hands sign not posted at hand wash facility.","Not Critical",11,"A","10/25/2016","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"MANHATTAN MONSTER","MANHATTAN","GROVE STREET",10014,"American","07/09/2014","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",13,"A","07/09/2014","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"SHAKE SHACK","MANHATTAN","GRAND CENTRAL TERMINAL",10017,"American","11/19/2015","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",11,"A","11/19/2015","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"HALE & HEARTY SOUP","MANHATTAN","LEXINGTON AVENUE",10022,"Soups & Sandwiches","03/04/2015","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",12,"A","03/04/2015","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"CULTURE ESPRESSO","MANHATTAN","WEST   38 STREET",10018,"CafÃ©/Coffee/Tea","05/06/2015","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",8,"A","05/06/2015","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"SANT AMBROEUS CAFE AT SOTHEBY'S","MANHATTAN","YORK AVE",10021,"American","01/22/2016","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",19,"B","01/22/2016","04/23/2017","Pre-permit (Operational) / Re-inspection",-73.970211,40.7573354
"EASTERN BLOC","MANHATTAN","EAST    6 STREET",10009,"American","01/18/2017","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",12,"A","01/18/2017","04/23/2017","Cycle Inspection / Re-inspection",-73.980897,40.783165
"The Roost","MANHATTAN","AVENUE B",10009,"CafÃ©/Coffee/Tea","12/22/2014","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",12,"A","12/22/2014","04/23/2017","Cycle Inspection / Re-inspection",-73.9487238,40.7886041
"OAXACA TAQUERIA","MANHATTAN","1ST AVE",10065,"Mexican","03/31/2017","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",9,"A","03/31/2017","04/23/2017","Pre-permit (Operational) / Re-inspection",-73.941971,40.7867022
"RICHARD ROGERS THEATRE","MANHATTAN","WEST   46 STREET",10036,"American","11/19/2014","Violations were cited in the following area(s).","10J","''''Wash hands sign not posted at hand wash facility.","Not Critical",4,"A","11/19/2014","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
